"Tract 48201310500, TEXAS, EPA Region 6 (Population: 3,686)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","95","","98"
"2","EJ Index","EJ Index for Ozone","","","95","","98"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","98","","97"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","96","","98"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","96","","95"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","97","","99"
"7","EJ Index","EJ Index for Traffic Proximity","","","77","","85"
"8","EJ Index","EJ Index for Lead Paint","","","96","","97"
"9","EJ Index","EJ Index for Superfund Proximity","","","97","","98"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","78","","93"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","98","","97"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","97","","97"
"13","EJ Index","EJ Index for Wastewater Discharge","","","96","","96"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","91","8.08","95"
"15","Environmental","Ozone (ppb)","69.2","64.6","82","61.6","92"
"16","Environmental","Diesel PM (ug/m3)","0.466","0.218","97","0.261","80-90th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","54000","12000","94","4600","98"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","110","150","60","210","59"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.65","0.17","93","0.3","83"
"22","Environmental","Superfund Proximity (site count/km distance)","0.36","0.085","96","0.13","92"
"23","Environmental","RMP Proximity (facility count/km distance)","0.38","0.63","56","0.43","71"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","5","0.75","98","1.9","89"
"25","Environmental","Underground Storage Tank Indicator","9.2","2.3","97","3.9","87"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.074","0.91","88","22","80"
"27","Demographic","Demographic Index","78%","46%","89","35%","94"
"28","Demographic","Supplemental Demographic Index","32%","17%","92","14%","95"
"29","Demographic","People of Color Population","95%","58%","85","39%","92"
"30","Demographic","Low Income Population","61%","34%","84","31%","89"
"31","Demographic","Unemployed","15%","5%","92","6%","91"
"32","Demographic","Limited English Speaking Households","34%","8%","94","5%","97"
"33","Demographic","Population with Less Than High School Education","31%","16%","81","12%","92"
"34","Demographic","Population under Age 5","5%","6%","42","6%","49"
"35","Demographic","Population over Age 64","14%","14%","58","17%","45"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","96","","98"
"37","Supplemental Index","Supplemental Index for Ozone","","","96","","98"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","97","","98"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","97","","98"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","97","","97"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","97","","99"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","83","","88"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","96","","97"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","97","","98"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","84","","94"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","97","","98"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","97","","97"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","96","","97"
