"Tract 48201312400, TEXAS, EPA Region 6 (Population: 2,230)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","98","","99"
"2","EJ Index","EJ Index for Ozone","","","98","","99"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","99","","99"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","98","","99"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","98","","97"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","99","","99"
"7","EJ Index","EJ Index for Traffic Proximity","","","92","","95"
"8","EJ Index","EJ Index for Lead Paint","","","99","","99"
"9","EJ Index","EJ Index for Superfund Proximity","","","99","","99"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","96","","98"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","99","","98"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","92","","94"
"13","EJ Index","EJ Index for Wastewater Discharge","","","79","","88"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","92","8.08","96"
"15","Environmental","Ozone (ppb)","70.1","64.6","90","61.6","94"
"16","Environmental","Diesel PM (ug/m3)","0.564","0.218","99","0.261","90-95th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","37000","12000","91","4600","98"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","870","150","98","210","95"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.72","0.17","95","0.3","87"
"22","Environmental","Superfund Proximity (site count/km distance)","0.19","0.085","91","0.13","85"
"23","Environmental","RMP Proximity (facility count/km distance)","1","0.63","82","0.43","88"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","3.5","0.75","96","1.9","83"
"25","Environmental","Underground Storage Tank Indicator","3.3","2.3","73","3.9","68"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.00099","0.91","46","22","48"
"27","Demographic","Demographic Index","87%","46%","96","35%","98"
"28","Demographic","Supplemental Demographic Index","28%","17%","87","14%","93"
"29","Demographic","People of Color Population","97%","58%","89","39%","93"
"30","Demographic","Low Income Population","77%","34%","95","31%","96"
"31","Demographic","Unemployed","15%","5%","92","6%","91"
"32","Demographic","Limited English Speaking Households","0%","8%","0","5%","0"
"33","Demographic","Population with Less Than High School Education","16%","16%","61","12%","75"
"34","Demographic","Population under Age 5","12%","6%","87","6%","91"
"35","Demographic","Population over Age 64","14%","14%","56","17%","43"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","94","","98"
"37","Supplemental Index","Supplemental Index for Ozone","","","96","","98"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","96","","97"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","95","","98"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","96","","95"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","95","","98"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","88","","92"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","94","","96"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","95","","96"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","91","","96"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","95","","95"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","88","","91"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","78","","84"
