"Tract 48201410102, TEXAS, EPA Region 6 (Population: 3,777)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","82","","89"
"2","EJ Index","EJ Index for Ozone","","","84","","88"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","84","","87"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","89","","92"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","88","","86"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","83","","91"
"7","EJ Index","EJ Index for Traffic Proximity","","","82","","87"
"8","EJ Index","EJ Index for Lead Paint","","","64","","62"
"9","EJ Index","EJ Index for Superfund Proximity","","","80","","86"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","62","","81"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","74","","76"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","69","","78"
"13","EJ Index","EJ Index for Wastewater Discharge","","","80","","85"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","94","8.08","96"
"15","Environmental","Ozone (ppb)","70","64.6","89","61.6","94"
"16","Environmental","Diesel PM (ug/m3)","0.596","0.218","99","0.261","90-95th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","36000","12000","91","4600","97"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","1200","150","99","210","96"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.11","0.17","60","0.3","37"
"22","Environmental","Superfund Proximity (site count/km distance)","0.21","0.085","93","0.13","86"
"23","Environmental","RMP Proximity (facility count/km distance)","0.42","0.63","59","0.43","73"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","1.2","0.75","81","1.9","65"
"25","Environmental","Underground Storage Tank Indicator","3.1","2.3","72","3.9","68"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.071","0.91","88","22","80"
"27","Demographic","Demographic Index","47%","46%","53","35%","72"
"28","Demographic","Supplemental Demographic Index","12%","17%","39","14%","48"
"29","Demographic","People of Color Population","64%","58%","54","39%","75"
"30","Demographic","Low Income Population","30%","34%","48","31%","56"
"31","Demographic","Unemployed","3%","5%","42","6%","39"
"32","Demographic","Limited English Speaking Households","3%","8%","53","5%","69"
"33","Demographic","Population with Less Than High School Education","5%","16%","30","12%","36"
"34","Demographic","Population under Age 5","11%","6%","82","6%","87"
"35","Demographic","Population over Age 64","5%","14%","15","17%","9"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","75","","80"
"37","Supplemental Index","Supplemental Index for Ozone","","","75","","81"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","76","","79"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","87","","87"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","85","","78"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","74","","81"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","73","","77"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","53","","41"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","74","","77"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","54","","69"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","66","","64"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","61","","66"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","71","","74"
