"Tract 48201221301, TEXAS, EPA Region 6 (Population: 4,458)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","94","","98"
"2","EJ Index","EJ Index for Ozone","","","94","","98"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","96","","95"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","95","","97"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","95","","95"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","96","","98"
"7","EJ Index","EJ Index for Traffic Proximity","","","83","","88"
"8","EJ Index","EJ Index for Lead Paint","","","96","","96"
"9","EJ Index","EJ Index for Superfund Proximity","","","95","","96"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","75","","91"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","76","","78"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","90","","93"
"13","EJ Index","EJ Index for Wastewater Discharge","","","0","","5"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","93","8.08","96"
"15","Environmental","Ozone (ppb)","69.3","64.6","82","61.6","92"
"16","Environmental","Diesel PM (ug/m3)","0.412","0.218","94","0.261","80-90th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","37000","12000","91","4600","98"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","120","150","64","210","62"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.61","0.17","92","0.3","81"
"22","Environmental","Superfund Proximity (site count/km distance)","0.17","0.085","89","0.13","82"
"23","Environmental","RMP Proximity (facility count/km distance)","0.32","0.63","53","0.43","68"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","0.34","0.75","54","1.9","44"
"25","Environmental","Underground Storage Tank Indicator","5.1","2.3","86","3.9","77"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","4.9E-09","0.91","0","22","1"
"27","Demographic","Demographic Index","75%","46%","86","35%","93"
"28","Demographic","Supplemental Demographic Index","31%","17%","91","14%","95"
"29","Demographic","People of Color Population","94%","58%","85","39%","92"
"30","Demographic","Low Income Population","55%","34%","79","31%","85"
"31","Demographic","Unemployed","0%","5%","0","6%","0"
"32","Demographic","Limited English Speaking Households","37%","8%","95","5%","97"
"33","Demographic","Population with Less Than High School Education","45%","16%","93","12%","97"
"34","Demographic","Population under Age 5","7%","6%","58","6%","65"
"35","Demographic","Population over Age 64","11%","14%","42","17%","29"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","96","","98"
"37","Supplemental Index","Supplemental Index for Ozone","","","96","","98"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","97","","97"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","96","","98"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","97","","97"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","97","","99"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","89","","92"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","97","","98"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","96","","97"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","81","","93"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","83","","83"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","94","","96"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","0","","3"
