"Tract 41051000902, OREGON, EPA Region 10 (Population: 5,708)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","90","","77"
"2","EJ Index","EJ Index for Ozone","","","88","","18"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","94","","83"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","92","","91"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","92","","87"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","94","","81"
"7","EJ Index","EJ Index for Traffic Proximity","","","88","","76"
"8","EJ Index","EJ Index for Lead Paint","","","91","","77"
"9","EJ Index","EJ Index for Superfund Proximity","","","89","","74"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","83","","70"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","95","","80"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","82","","74"
"13","EJ Index","EJ Index for Wastewater Discharge","","","89","","66"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","8.93","8.08","72","8.08","71"
"15","Environmental","Ozone (ppb)","54.6","52.7","69","61.6","8"
"16","Environmental","Diesel PM (ug/m3)","0.754","0.327","96","0.261","95-100th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","32","60","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.5","0.38","65","0.31","90-95th"
"19","Environmental","Toxic Releases to Air","2900","1500","88","4600","79"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","250","180","81","210","80"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.45","0.27","78","0.3","70"
"22","Environmental","Superfund Proximity (site count/km distance)","0.099","0.081","73","0.13","66"
"23","Environmental","RMP Proximity (facility count/km distance)","0.22","0.43","62","0.43","61"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","5.5","1.4","92","1.9","90"
"25","Environmental","Underground Storage Tank Indicator","3.6","3.8","66","3.9","70"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.0013","0.028","72","22","51"
"27","Demographic","Demographic Index","40%","27%","83","35%","64"
"28","Demographic","Supplemental Demographic Index","17%","13%","78","14%","69"
"29","Demographic","People of Color Population","38%","24%","81","39%","57"
"30","Demographic","Low Income Population","41%","29%","75","31%","70"
"31","Demographic","Unemployed","10%","6%","82","6%","81"
"32","Demographic","Limited English Speaking Households","1%","2%","66","5%","58"
"33","Demographic","Population with Less Than High School Education","11%","9%","72","12%","62"
"34","Demographic","Population under Age 5","6%","5%","68","6%","63"
"35","Demographic","Population over Age 64","9%","19%","16","17%","21"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","89","","81"
"37","Supplemental Index","Supplemental Index for Ozone","","","85","","13"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","95","","89"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","91","","92"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","92","","91"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","93","","84"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","87","","82"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","88","","78"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","89","","79"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","81","","73"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","95","","86"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","80","","78"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","87","","67"
