"Tract 41051010602, OREGON, EPA Region 10 (Population: 1,966)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","92","","79"
"2","EJ Index","EJ Index for Ozone","","","87","","17"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","96","","84"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","93","","91"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","93","","88"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","92","","81"
"7","EJ Index","EJ Index for Traffic Proximity","","","95","","84"
"8","EJ Index","EJ Index for Lead Paint","","","96","","83"
"9","EJ Index","EJ Index for Superfund Proximity","","","93","","78"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","91","","79"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","97","","83"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","94","","84"
"13","EJ Index","EJ Index for Wastewater Discharge","","","94","","74"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","8.94","8.08","73","8.08","72"
"15","Environmental","Ozone (ppb)","54.1","52.7","62","61.6","7"
"16","Environmental","Diesel PM (ug/m3)","0.837","0.327","98","0.261","95-100th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","32","60","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.5","0.38","65","0.31","90-95th"
"19","Environmental","Toxic Releases to Air","2300","1500","77","4600","74"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","1400","180","98","210","97"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.68","0.27","91","0.3","85"
"22","Environmental","Superfund Proximity (site count/km distance)","0.12","0.081","81","0.13","72"
"23","Environmental","RMP Proximity (facility count/km distance)","0.59","0.43","79","0.43","79"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","8.8","1.4","98","1.9","95"
"25","Environmental","Underground Storage Tank Indicator","18","3.8","96","3.9","95"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.0042","0.028","84","22","60"
"27","Demographic","Demographic Index","42%","27%","85","35%","66"
"28","Demographic","Supplemental Demographic Index","18%","13%","80","14%","71"
"29","Demographic","People of Color Population","35%","24%","77","39%","54"
"30","Demographic","Low Income Population","52%","29%","89","31%","82"
"31","Demographic","Unemployed","11%","6%","86","6%","85"
"32","Demographic","Limited English Speaking Households","0%","2%","0","5%","0"
"33","Demographic","Population with Less Than High School Education","10%","9%","66","12%","56"
"34","Demographic","Population under Age 5","0%","5%","0","6%","0"
"35","Demographic","Population over Age 64","13%","19%","34","17%","39"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","90","","82"
"37","Supplemental Index","Supplemental Index for Ozone","","","83","","12"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","96","","90"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","92","","93"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","93","","92"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","92","","84"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","94","","89"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","94","","86"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","92","","83"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","90","","83"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","97","","88"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","92","","88"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","93","","76"
