"Tract 26163535000, MICHIGAN, EPA Region 5 (Population: 2,903)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","95","","97"
"2","EJ Index","EJ Index for Ozone","","","92","","87"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","91","","85"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","94","","84"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","84","","32"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","94","","95"
"7","EJ Index","EJ Index for Traffic Proximity","","","90","","86"
"8","EJ Index","EJ Index for Lead Paint","","","94","","97"
"9","EJ Index","EJ Index for Superfund Proximity","","","77","","76"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","94","","91"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","94","","91"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","88","","92"
"13","EJ Index","EJ Index for Wastewater Discharge","","","78","","69"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.5","8.51","97","8.08","97"
"15","Environmental","Ozone (ppb)","62.6","60","72","61.6","60"
"16","Environmental","Diesel PM (ug/m3)","0.251","0.183","74","0.261","50-60th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","30","23","70","28","<50th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.2","0.2","11","0.31","<50th"
"19","Environmental","Toxic Releases to Air","4300","2500","88","4600","84"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","120","120","68","210","60"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.84","0.38","89","0.3","93"
"22","Environmental","Superfund Proximity (site count/km distance)","0.045","0.15","32","0.13","40"
"23","Environmental","RMP Proximity (facility count/km distance)","0.39","0.31","78","0.43","72"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","1.8","1.1","79","1.9","72"
"25","Environmental","Underground Storage Tank Indicator","8.9","8","68","3.9","87"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.00011","0.13","33","22","31"
"27","Demographic","Demographic Index","70%","28%","92","35%","90"
"28","Demographic","Supplemental Demographic Index","20%","14%","84","14%","80"
"29","Demographic","People of Color Population","100%","26%","99","39%","98"
"30","Demographic","Low Income Population","41%","31%","70","31%","70"
"31","Demographic","Unemployed","21%","7%","94","6%","96"
"32","Demographic","Limited English Speaking Households","2%","2%","81","5%","64"
"33","Demographic","Population with Less Than High School Education","13%","9%","77","12%","67"
"34","Demographic","Population under Age 5","8%","5%","80","6%","77"
"35","Demographic","Population over Age 64","16%","18%","47","17%","52"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","93","","94"
"37","Supplemental Index","Supplemental Index for Ozone","","","88","","83"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","87","","80"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","91","","76"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","76","","27"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","91","","91"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","84","","80"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","90","","92"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","58","","68"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","88","","85"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","87","","85"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","82","","88"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","59","","56"
