"Tract 26163519100, MICHIGAN, EPA Region 5 (Population: 1,193)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","94","","97"
"2","EJ Index","EJ Index for Ozone","","","93","","88"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","95","","90"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","94","","83"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","96","","76"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","95","","95"
"7","EJ Index","EJ Index for Traffic Proximity","","","96","","95"
"8","EJ Index","EJ Index for Lead Paint","","","94","","97"
"9","EJ Index","EJ Index for Superfund Proximity","","","89","","81"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","97","","96"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","97","","95"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","94","","96"
"13","EJ Index","EJ Index for Wastewater Discharge","","","55","","50"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.5","8.51","96","8.08","97"
"15","Environmental","Ozone (ppb)","63","60","77","61.6","63"
"16","Environmental","Diesel PM (ug/m3)","0.324","0.183","93","0.261","70-80th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","30","23","70","28","<50th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.3","0.2","88","0.31","<50th"
"19","Environmental","Toxic Releases to Air","5000","2500","91","4600","86"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","440","120","94","210","89"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.91","0.38","95","0.3","97"
"22","Environmental","Superfund Proximity (site count/km distance)","0.059","0.15","48","0.13","49"
"23","Environmental","RMP Proximity (facility count/km distance)","1.5","0.31","96","0.43","93"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","5","1.1","98","1.9","89"
"25","Environmental","Underground Storage Tank Indicator","22","8","88","3.9","96"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","1.2E-05","0.13","17","22","18"
"27","Demographic","Demographic Index","69%","28%","91","35%","89"
"28","Demographic","Supplemental Demographic Index","23%","14%","89","14%","86"
"29","Demographic","People of Color Population","80%","26%","90","39%","83"
"30","Demographic","Low Income Population","58%","31%","86","31%","87"
"31","Demographic","Unemployed","21%","7%","94","6%","96"
"32","Demographic","Limited English Speaking Households","1%","2%","78","5%","61"
"33","Demographic","Population with Less Than High School Education","13%","9%","78","12%","68"
"34","Demographic","Population under Age 5","4%","5%","38","6%","37"
"35","Demographic","Population over Age 64","29%","18%","87","17%","87"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","95","","96"
"37","Supplemental Index","Supplemental Index for Ozone","","","92","","88"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","94","","90"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","93","","81"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","96","","72"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","94","","94"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","95","","93"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","94","","96"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","81","","79"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","95","","94"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","95","","93"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","92","","94"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","38","","39"
