"Tract 26163501500, MICHIGAN, EPA Region 5 (Population: 4,251)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","93","","96"
"2","EJ Index","EJ Index for Ozone","","","95","","90"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","94","","88"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","94","","85"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","84","","33"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","94","","95"
"7","EJ Index","EJ Index for Traffic Proximity","","","96","","95"
"8","EJ Index","EJ Index for Lead Paint","","","94","","97"
"9","EJ Index","EJ Index for Superfund Proximity","","","97","","93"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","88","","81"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","73","","68"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","93","","97"
"13","EJ Index","EJ Index for Wastewater Discharge","","","54","","50"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.1","8.51","82","8.08","91"
"15","Environmental","Ozone (ppb)","63.4","60","82","61.6","66"
"16","Environmental","Diesel PM (ug/m3)","0.278","0.183","82","0.261","60-70th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","30","23","70","28","<50th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.2","0.2","11","0.31","<50th"
"19","Environmental","Toxic Releases to Air","3800","2500","85","4600","82"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","460","120","95","210","89"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.78","0.38","85","0.3","90"
"22","Environmental","Superfund Proximity (site count/km distance)","0.13","0.15","74","0.13","74"
"23","Environmental","RMP Proximity (facility count/km distance)","0.16","0.31","56","0.43","48"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","0.18","1.1","33","1.9","32"
"25","Environmental","Underground Storage Tank Indicator","14","8","80","3.9","93"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","9.6E-06","0.13","16","22","17"
"27","Demographic","Demographic Index","72%","28%","93","35%","91"
"28","Demographic","Supplemental Demographic Index","20%","14%","82","14%","78"
"29","Demographic","People of Color Population","90%","26%","93","39%","89"
"30","Demographic","Low Income Population","55%","31%","84","31%","84"
"31","Demographic","Unemployed","6%","7%","61","6%","65"
"32","Demographic","Limited English Speaking Households","1%","2%","75","5%","58"
"33","Demographic","Population with Less Than High School Education","11%","9%","72","12%","62"
"34","Demographic","Population under Age 5","11%","5%","91","6%","89"
"35","Demographic","Population over Age 64","7%","18%","14","17%","16"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","90","","92"
"37","Supplemental Index","Supplemental Index for Ozone","","","90","","85"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","89","","82"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","91","","76"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","75","","26"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","89","","90"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","90","","88"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","88","","91"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","90","","87"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","77","","71"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","59","","57"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","86","","90"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","30","","33"
